Year,Quarter,Nationality,Region,Visa type group,Visa type,Visa type subgroup,Applicant type,Applications
2005,2005 Q1,Afghanistan,Asia Central,Family,Family: Child,Family: Child (for immediate settlement),All,15
2005,2005 Q1,Afghanistan,Asia Central,Family,Family: Other,Family: Other (for immediate settlement),All,32
2005,2005 Q1,Afghanistan,Asia Central,Family,Family: Partner,Family: Partner,All,136
2005,2005 Q1,Afghanistan,Asia Central,Family,Family: Partner,Family: Partner (for immediate settlement),All,2
2005,2005 Q1,Afghanistan,Asia Central,Family,Refugee Family Reunion,Refugee Family Reunion,All,194
2005,2005 Q1,Afghanistan,Asia Central,Other,Dep. joining or accompanying,Joining or accompanying: Child,Dependant,108
2005,2005 Q1,Afghanistan,Asia Central,Other,EEA Family Permit,EEA Family Permit,All,45
2005,2005 Q1,Afghanistan,Asia Central,Other,Other settlement visas,Certificate of entitlement to right of abode,Main Applicant,2
2005,2005 Q1,Afghanistan,Asia Central,Other,Other settlement visas,Other settlement (indefinite leave),All,11
2005,2005 Q1,Afghanistan,Asia Central,Other,Other temporary visas,Other temporary visas,All,1
2005,2005 Q1,Afghanistan,Asia Central,Other,Other temporary visas,Transit,All,132
2005,2005 Q1,Afghanistan,Asia Central,Study,Other study,Student - legacy route,Main Applicant,21
2005,2005 Q1,Afghanistan,Asia Central,Visitor,Visitor,Visitor,All,482
2005,2005 Q1,Afghanistan,Asia Central,Work,Other work visas and exemptions,Work Permit,Main Applicant,3
2005,2005 Q1,Albania,Europe Other,Family,Family: Child,Family: Child (for immediate settlement),All,6
2005,2005 Q1,Albania,Europe Other,Family,Family: Partner,Family: Partner,All,372
2005,2005 Q1,Albania,Europe Other,Family,Family: Partner,Family: Partner (for immediate settlement),All,1
2005,2005 Q1,Albania,Europe Other,Family,Refugee Family Reunion,Refugee Family Reunion,All,35
2005,2005 Q1,Albania,Europe Other,Other,Dep. joining or accompanying,Joining or accompanying: Child,Dependant,5
2005,2005 Q1,Albania,Europe Other,Other,Dep. joining or accompanying,Joining or accompanying: Partner,Dependant,1
2005,2005 Q1,Albania,Europe Other,Other,EEA Family Permit,EEA Family Permit,All,74
2005,2005 Q1,Albania,Europe Other,Other,Other temporary visas,Other temporary visas,All,5
2005,2005 Q1,Albania,Europe Other,Other,Other temporary visas,Transit,All,5
2005,2005 Q1,Albania,Europe Other,Study,Other study,Short-term study (previously Student Visitor),Main Applicant,8
2005,2005 Q1,Albania,Europe Other,Study,Other study,Student - legacy route,Main Applicant,62
2005,2005 Q1,Albania,Europe Other,Visitor,Visitor,Visitor,All,2762
2005,2005 Q1,Albania,Europe Other,Work,Other work visas and exemptions,"Minister of Religion, Missionary or Member of a Religious Order",Main Applicant,1
2005,2005 Q1,Albania,Europe Other,Work,Other work visas and exemptions,Other permit free employment,Main Applicant,3
2005,2005 Q1,Albania,Europe Other,Work,Other work visas and exemptions,Work Permit,Dependant,2
2005,2005 Q1,Albania,Europe Other,Work,Other work visas and exemptions,Work Permit,Main Applicant,20
2005,2005 Q1,Algeria,Africa North,Family,Family: Child,Family: Child (for immediate settlement),All,2
2005,2005 Q1,Algeria,Africa North,Family,Family: Other,Family: Other (for immediate settlement),All,1
2005,2005 Q1,Algeria,Africa North,Family,Family: Partner,Family: Partner,All,125
2005,2005 Q1,Algeria,Africa North,Family,Family: Partner,Family: Partner (for immediate settlement),All,1
2005,2005 Q1,Algeria,Africa North,Family,Refugee Family Reunion,Refugee Family Reunion,All,3
2005,2005 Q1,Algeria,Africa North,Other,EEA Family Permit,EEA Family Permit,All,88
2005,2005 Q1,Algeria,Africa North,Other,Other settlement visas,Certificate of entitlement to right of abode,Main Applicant,6
2005,2005 Q1,Algeria,Africa North,Other,Other settlement visas,Other settlement (indefinite leave),All,7
2005,2005 Q1,Algeria,Africa North,Other,Other temporary visas,Other temporary visas,All,4
2005,2005 Q1,Algeria,Africa North,Other,Other temporary visas,Other temporary visas,Main Applicant,1
2005,2005 Q1,Algeria,Africa North,Other,Other temporary visas,Transit,All,58
2005,2005 Q1,Algeria,Africa North,Study,Other study,Short-term study (previously Student Visitor),Main Applicant,13
2005,2005 Q1,Algeria,Africa North,Study,Other study,Student - legacy route,Dependant,13
2005,2005 Q1,Algeria,Africa North,Study,Other study,Student - legacy route,Main Applicant,65
2005,2005 Q1,Algeria,Africa North,Visitor,Visitor,Visitor,All,2589
2005,2005 Q1,Algeria,Africa North,Work,Other work visas and exemptions,Other permit free employment,Main Applicant,6
2005,2005 Q1,Algeria,Africa North,Work,Other work visas and exemptions,Work Permit,Dependant,9
2005,2005 Q1,Algeria,Africa North,Work,Other work visas and exemptions,Work Permit,Main Applicant,7
2005,2005 Q1,Andorra,Europe Other,Visitor,Visitor,Visitor,All,1
2005,2005 Q1,Angola,Africa Sub-Saharan,Family,Family: Child,Family: Child (for immediate settlement),All,1
2005,2005 Q1,Angola,Africa Sub-Saharan,Family,Family: Partner,Family: Partner,All,3
2005,2005 Q1,Angola,Africa Sub-Saharan,Family,Refugee Family Reunion,Refugee Family Reunion,All,2
2005,2005 Q1,Angola,Africa Sub-Saharan,Other,Dep. joining or accompanying,Joining or accompanying: Partner,Dependant,1
2005,2005 Q1,Angola,Africa Sub-Saharan,Other,EEA Family Permit,EEA Family Permit,All,26
2005,2005 Q1,Angola,Africa Sub-Saharan,Other,Other temporary visas,Other temporary visas,All,4
2005,2005 Q1,Angola,Africa Sub-Saharan,Other,Other temporary visas,Transit,All,68
2005,2005 Q1,Angola,Africa Sub-Saharan,Study,Other study,Student - legacy route,Dependant,3
2005,2005 Q1,Angola,Africa Sub-Saharan,Study,Other study,Student - legacy route,Main Applicant,67
2005,2005 Q1,Angola,Africa Sub-Saharan,Visitor,Visitor,Visitor,All,775
2005,2005 Q1,Angola,Africa Sub-Saharan,Work,Other work visas and exemptions,Overseas Domestic Worker,Main Applicant,1
2005,2005 Q1,Angola,Africa Sub-Saharan,Work,Other work visas and exemptions,Work Permit,Main Applicant,4
2005,2005 Q1,Antigua and Barbuda,America Central and South,Family,Family: Partner,Family: Partner,All,4
2005,2005 Q1,Antigua and Barbuda,America Central and South,Other,Dep. joining or accompanying,Joining or accompanying: Partner,Dependant,1
2005,2005 Q1,Antigua and Barbuda,America Central and South,Study,Other study,Student - legacy route,Main Applicant,1
2005,2005 Q1,Antigua and Barbuda,America Central and South,Visitor,Visitor,Visitor,All,1
2005,2005 Q1,Antigua and Barbuda,America Central and South,Work,Other work visas and exemptions,Work Permit,Dependant,1
2005,2005 Q1,Argentina,America Central and South,Family,Family: Other,Family: Other (for immediate settlement),All,1
2005,2005 Q1,Argentina,America Central and South,Family,Family: Partner,Family: Partner,All,20
2005,2005 Q1,Argentina,America Central and South,Other,Dep. joining or accompanying,Joining or accompanying: Child,Dependant,11
2005,2005 Q1,Argentina,America Central and South,Other,Dep. joining or accompanying,Joining or accompanying: Partner,Dependant,18
2005,2005 Q1,Argentina,America Central and South,Other,EEA Family Permit,EEA Family Permit,All,25
2005,2005 Q1,Argentina,America Central and South,Other,Other temporary visas,Other temporary visas,All,5
2005,2005 Q1,Argentina,America Central and South,Study,Other study,Short-term study (previously Student Visitor),Main Applicant,1
2005,2005 Q1,Argentina,America Central and South,Study,Other study,Student - legacy route,Main Applicant,34
2005,2005 Q1,Argentina,America Central and South,Visitor,Visitor,Visitor,All,10
2005,2005 Q1,Argentina,America Central and South,Work,Other work visas and exemptions,"Minister of Religion, Missionary or Member of a Religious Order",Main Applicant,3
2005,2005 Q1,Argentina,America Central and South,Work,Other work visas and exemptions,Other permit free employment,Main Applicant,9
2005,2005 Q1,Argentina,America Central and South,Work,Other work visas and exemptions,Work Permit,Dependant,17
2005,2005 Q1,Argentina,America Central and South,Work,Other work visas and exemptions,Work Permit,Main Applicant,70
2005,2005 Q1,Armenia,Europe Other,Family,Family: Partner,Family: Partner,All,2
2005,2005 Q1,Armenia,Europe Other,Other,Dep. joining or accompanying,Joining or accompanying: Partner,Dependant,1
2005,2005 Q1,Armenia,Europe Other,Other,EEA Family Permit,EEA Family Permit,All,4
2005,2005 Q1,Armenia,Europe Other,Other,Other temporary visas,Other temporary visas,All,11
2005,2005 Q1,Armenia,Europe Other,Other,Other temporary visas,Transit,All,8
2005,2005 Q1,Armenia,Europe Other,Study,Other study,Student - legacy route,Dependant,1
2005,2005 Q1,Armenia,Europe Other,Study,Other study,Student - legacy route,Main Applicant,19
2005,2005 Q1,Armenia,Europe Other,Study,Other study,Trainees - doctors & dentists,Main Applicant,1
2005,2005 Q1,Armenia,Europe Other,Visitor,Visitor,Visitor,All,262
2005,2005 Q1,Armenia,Europe Other,Work,Other work visas and exemptions,Other permit free employment,Main Applicant,5
2005,2005 Q1,Armenia,Europe Other,Work,Other work visas and exemptions,Overseas Domestic Worker,Main Applicant,1
2005,2005 Q1,Armenia,Europe Other,Work,Other work visas and exemptions,Work Permit,Main Applicant,7
2005,2005 Q1,Australia,Oceania,Family,Family: Child,Family: Child (for immediate settlement),All,57
2005,2005 Q1,Australia,Oceania,Family,Family: Other,Family: Other (for immediate settlement),All,5
2005,2005 Q1,Australia,Oceania,Family,Family: Partner,Family: Partner,All,251
2005,2005 Q1,Australia,Oceania,Family,Family: Partner,Family: Partner (for immediate settlement),All,134
2005,2005 Q1,Australia,Oceania,Other,Dep. joining or accompanying,Joining or accompanying: Child,Dependant,122
2005,2005 Q1,Australia,Oceania,Other,Dep. joining or accompanying,Joining or accompanying: Partner,Dependant,230
2005,2005 Q1,Australia,Oceania,Other,EEA Family Permit,EEA Family Permit,All,82
2005,2005 Q1,Australia,Oceania,Other,Other settlement visas,Certificate of entitlement to right of abode,Main Applicant,630
2005,2005 Q1,Australia,Oceania,Other,Other settlement visas,Other settlement (indefinite leave),All,13
